page	text	source
1	"الشامل
‎٠‏

قاموس إنجليزي - عربى

Al Shame

An English - Arabic Dictionary

Abdiel VI آن"	al-shamil-dictionary
2	"s
;/ ”,
WWW.BOOKS4ALL.NET"	al-shamil-dictionary
3	"عبد المحسن إسفاغيل رفضا
‎gugold‏ إنجليزى - عربى
‎AL - SHAMEL‏
‎An English — Arabic Dictionary‏
‎BY‏
‎Abdel Mohsen Ismail Ramadan‏
مكتبة جزيرة الورد"	al-shamil-dictionary
4	"T TR
. فهرس الهيئة المصرية العامة للكتاب
رمان ¢ عبد المحسن إسماعيل‎
القاموس الشامل : إنجليزي / عربي / تأليف عبد المحسن
القاهرة : مكتبة جزيرة الورد . ١1ط‎  . ‏إسماعيل رمان
“+
باص ألاسم
. اللغة الإنجليزية  معجم  اللغة العربية ١
15١ ‏أ العنوان"	al-shamil-dictionary
5	"اح
مقدمة

يسمدنى ان أقدم هذا الممجم الإنجليز العري الشامل خصيصا التلبية
سحاجات طلاب اللفظة الإنجليزية فى مراحل التعليم المختلف والمدرسين والباحثين
عامة المثقفون حيث إنه يشتمل على المفردات الإصلاحات الحديثة المتجمدة
فى مختلف الحقول العلمية

ويسرنى أن الفت النظر إلى ما يمتاز به هذا القاموس الشامل عن سواه
من القواميس الإنجليزية العربية وهو أنى جملت نصب عينى ان اختار من الألفاظ
ما يهمه القارئ المبتدئ ويرضاه اللفوى المدقق كما أننى استعنت بالألفة المصرية
الدرجة إذا كانت أقرب إلى معنى الكلمة الإنجليزية من الكلمة العربية الفصحى؛
كما أوضح بجانب معنى الكلمة الإنجليزية من الكلمة العربية الفضصحى كما
أوضح بجانب كل كلمة نوعه الصرف فعل/ اسم/ صفة/ وكذلك اللفظة
التى اخذت منها اللفظة إذا كان لها أصل اجنبىء كما تم مراعاة سرد ألمانى تبعا
للترتيب أنواع الكلمة الصرفية الملونة أمام اللفظة وادخلت أيضا الاختصارات
الأكثر شيوع فى اللفظة الإنجليزية كما راعيات تدوين حروف الجر الأكثر
إستخدام أمام بعض الأفعال الإنجليزية حتى نيسر على القارئ مستخدم
القاموس عناء كثيرا .

وزيادة النفع الاستفادة من هذا المعجم فقد راعيات تدوين كثير من
العبارات والجمال الاصطلاحية الإنجليزية بين علمية أدبية فنية وطية دينية
ضمن القاموس بحسب ترتيبها الهجاثى

وللتيسير على السادة مستخدم قاموس الشامل فقد حرصت كل
الحرص على تدوين أول ثلاثة حروف من أول كلمة تبدأ بها الصفحة فى الركن
الأيسر من أعلى الصفحة وكذلك تدوين أول ثلاثة حروف من آخر كلمة تنتهى بها
الصفحة فى الركن الأيمن بأعلى الصفحة هذا من حيث مادة القاموس ومحتواه؛
أما من حيث شكله فقد اخترت له من الحروف الواضح الظاهر ما يجمل له رونق"	al-shamil-dictionary
6	"ااا
جمالا حتى يسهل ذلك من عناء البحث إجهاد العين كما أننى راعيات ألا يكون
حجمه كبيرا حتى لابثقل على الأيدى يسهل تتداوله
وبعد فهو ذا الشامل وقد اصبح بحمد الله وتوفيقه حقيقة واقمة أقدامه
لطلابنا الأعزاء السادة الأرسين والباحثين عامة المثقفون داعي الله ان يلقى
لديه حسن القبول والضراء
ولا أستطيع قبل أن إطرح القلم إلا أن توجه بالكر إلى كل من ساعدنى
فى جمع وطباع هذا المعجم حتى جاء على الشكل الذى يراه القارئ من التدقيق
وحسن الإخراج كما أزجى الشكر خالص إلى إدارة مكتبة جزيرة الورد التى
عملت جاهد فى إصدار هذا الممجم الشامل ولم تدخر أى وسع أو تضحية لهذا
الإصدار الجيد
عبدالمحسن إسماعيل رمان
فى ‎١‏ ينايرسنة 30039 ميلادية
المصورة ‎YA‏ شوال سنة ‎VLYY‏ هجري"	al-shamil-dictionary
7	"Abbreviations
المختبرات الا تجليزية الواردة فى هذا القاموس القواميس المشابهة
V. Verb ‏فمل‎
‎adj. adjective صفة
‎8: noun أسم
‎adv. adverb ظرف
‎conj. conjunction حرف عطف ١
pron pronoun ضمير
‎aux auxiliary ‏ؤ فمل مساعد
sing singular مفرد
‏م‎ plural جمع ٍ
vi. verb intransitive ‏فمل لازم
vt. verb transitive فعل متعد
art article آداة
‎F. French ‏فرنسى‎
‎G. German ألمانى
‎GK. Greek يونان
‎11 Italian ‏ايطالى‎
‎L. Latin ‏لاتينى‎
‎part. participle أسم الممول
‏ع‎ persian فارس ١
‏م5‎ spanish ‏ا اسبانى‎
سن turkish ‏تركى‎ |
e لـ"	al-shamil-dictionary
8	"لاح
‎Irregular Verbs‏ آه ‎Conjugation‏
‎L PRESENT PAST PAST PART.‏
‎agreed agreed‏ | يتفق ‏ يوافق ‎agree‏
‎arrived‏ 40 أ يصل ‎arrive‏
‎awoke awoke‏ | يستيقظ ‎awake‏
مط 00 | تلد ‎bear‏
‎beat beaten‏ | يضرب ‏ يهزم ‎beat‏
‎became become‏ | يسبع ‎become‏
‎begun‏ 8 | يبتدئ ‎begin‏
‏ا ‎bit bitten‏ | بمض ‎i bite‏
‎blew blown‏ | يهب ‎blow‏ |
ا ‎broke broken‏ | يكسر ‎break‏ |
ا ‎brought brought‏ | يحضر ‎bring‏ ا
‎built built‏ | يبنى ف
‎burnt burnt‏ | يحرق ‎burn‏
‎burst‏ 1 | ينفجر ع
‎bought bought‏ | يشترى ‎buy‏
‎carried carried‏ يحمل ف {
‎caught‏ | يمسك ‎catch‏ ‘
‎chose chosen‏ | يختار ‎choose‏
‎cleaned cleaned ]‏ ينظف ‎clean‏
‎climb gula | climbed climbed‏
‎came came‏ | يأتى ‎come‏
‎cost cost‏ ات ‎cost‏
‎l creep _,ﬁl crept crept ١‏
لست ب ححا ا"	al-shamil-dictionary
9	"= ‏ا‎
‎-""
‎PRESENT PAST PART [
1
يصرخ ون | cried cried
cut يقطع | cut cut
deal يتاجر  لمامي‎ | dealt dealt
defend @l | defended defended ‏ا‎
‎depend ‏يتمد على | depended | depended |
die يموت | died died
dig يحفر 8 dug
do ‏يفيل‎ | 0 done
draw ‏يجر - يرسم | drew drawn ١
dream ‏يحلم‎ | dreamt dreamt i
drink ‏بشرب‎ | drank drunk
]d.rive يسوق | drove driven
eat يأكل | ate eaten
enter يدخل | 060 entered
fail يفشل  بسري‎ | 0 failed
fall يسقط  عقي‎ | fell fallen
feel ‏يشمر‎ | felt felt
fight يحارب | fought fought |
find يجد found found
finish ‏ينتهى‎ finished finished
flee يهرب fled fled 1
flow يفيض  قفدتي‎ flowed flowed
fly يطير | flew flown [
forget ‏يسى‎ | forgot forgotten |"	al-shamil-dictionary
10	"ا # اح
‎PRESENT m PAST PART.‏
‎forgave forgiven‏ | يسمع ‎forgive‏
‎frozen‏ 06 | تجمد ‎freeze‏
‎got‏ 0 | يحصل على ‎get‏
‎gave given‏ | يعطى ‎give‏
‎gone‏ 1 | يذهب ‎g‏
‎grew grown‏ | ينمو - يزنع ‎grow‏
‎hung hung‏ | يعلق ‎hang‏
‎hanged hanged |‏ | يشنق ‎I hang‏
‎happened‏ 0 | يحدث ‎happen‏ |
‎o5 | hated hated‏ م
‎had had‏ | يملك ‎have‏
‎heard heard‏ | يسمع ‎hear‏
‎Gy | 0 hidden‏ - يخفى ‎hide‏
‎held held‏ | يقبض على ‎hold‏
‎hurt hurt‏ | يضر - يؤدى ‎hurt‏
‎invited invited‏ يدعو ‎invite‏ |
‎invented‏ | يخترع ‎invent‏
‎kept kept‏ | يحفظ ‏ يصون عا
‎killed kilied‏ | يقتل ‎kill‏ )
‎knew known‏ | يمرف ‎{knuw‏
‎laid |‏ 0 | يضع ‎I iy‏
‎led‏ | يقود ‎lead‏
‎leamt learnt‏ | يدرس - تعلم ‎leam‏
‎left‏ | يترك ‎leave‏"	al-shamil-dictionary
